Nombre,Referencia interna,Código de barras,Categoría de producto,Coste,Precio de venta,Unidad SAT,precio_venta_5%,precio_venta_10%
/BOTAS SEGURIDAD #6 1/2  137582 SURTEK,137582,660731375824,SURTEK,696.0,1009.0,Pieza,1059.45,1109.9
/BOTAS SEGURIDAD #7  137583 SURTEK,137583,660731375831,SURTEK,696.0,1009.0,Pieza,1059.45,1109.9
/BOTAS SEGURIDAD #7 1/2  137584 SURTEK,137584,660731375848,SURTEK,696.0,1009.0,Pieza,1059.45,1109.9
/BOTAS SEGURIDAD #8  137585 SURTEK,137585,660731375855,SURTEK,696.0,1009.0,Pieza,1059.45,1109.9
/BOTAS SEGURIDAD #8 1/2  137586 SURTEK,137586,660731375862,SURTEK,696.0,1009.0,Pieza,1059.45,1109.9
/BOTAS SEGURIDAD #9  137587 SURTEK,137587,660731375879,SURTEK,696.0,1009.0,Pieza,1059.45,1109.9
/BOTAS SEGURIDAD CASUALES CASQUILLO ACERO TALLA 6.5MX  USZA65 URREA,USZA65,660731916324,URREA,1137.0,1649.0,Pieza,1731.45,1813.9
/BOTAS SEGURIDAD CASUALES CASQUILLO ACERO TALLA 7.5MX  USZA75 URREA,USZA75,660731916348,URREA,1137.0,1649.0,Pieza,1731.45,1813.9
/BOTAS SEGURIDAD CASUALES CASQUILLO ACERO TALLA 8.5MX  USZA85 URREA,USZA85,660731916362,URREA,1137.0,1649.0,Pieza,1731.45,1813.9
/BOTAS SEGURIDAD DIELECTRICAS CASQUILLO POLIAMIDA 24  137481 SURTEK,137481,660731374810,SURTEK,794.0,1151.0,Pieza,1208.55,1266.1000000000001
/BOTAS SEGURIDAD DIELECTRICAS CASQUILLO POLIAMIDA 25  137482 SURTEK,137482,660731374827,SURTEK,794.0,1151.0,Pieza,1208.55,1266.1000000000001
/BOTAS SEGURIDAD DIELECTRICAS CASQUILLO POLIAMIDA 26  137483 SURTEK,137483,660731374834,SURTEK,794.0,1151.0,Pieza,1208.55,1266.1000000000001
